,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros (tecnología),Total (tecnología),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros (velocidad),Total (velocidad)
144,2015,3,Buenos Aires,1.585.467,1.183.894,113.590,19.989,25.825,2.928.765,8.361,107.351,2.266.948,262.564,200.491,2.642,7.720,0.0,2.856.078
145,2015,3,Capital Federal,454.815,871.262,30.974,2.229,12.788,1.372.068,2.448,49.34,942.525,159.618,175.594,2.028,10.022,0.0,1.341.574
146,2015,3,Catamarca,25.801,242,15,1,34.0,26.093,15.0,6.871,14.206,4.143,812.0,43.0,1,0.0,26.091
147,2015,3,Chaco,56.282,28.809,186,52,41.0,85.370,240.0,10.353,47.131,19.016,7.498,979.0,157,0.0,85.374
148,2015,3,Chubut,43.964,792,916,13.408,4.803,63.883,641.0,5.886,71.668,167.0,0.0,0.0,0,0.0,78.362
149,2015,3,Corrientes,55.792,27.604,176,1.340,47.0,84.959,33.0,11.921,48.127,18.168,6.111,453.0,146,0.0,84.959
150,2015,3,Córdoba,351.692,264.055,1.450,5.412,389.0,622.998,150.0,68.765,429.787,61.109,59.372,2.582,1.048,0.0,622.813
151,2015,3,Entre Ríos,113.909,51.945,122,6.261,197.0,172.434,2.863,20.385,103.990,34.788,9.924,384.0,153,0.0,172.487
152,2015,3,Formosa,21.573,5.264,2,899,14.0,27.752,1.862,6.521,14.354,2.791,1.842,379.0,2,0.0,27.751
153,2015,3,Jujuy,32.598,6.895,22,- 0,35.0,39.550,2.549,9.278,21.588,5.169,966.0,0.0,0,0.0,39.550
154,2015,3,La Pampa,12.755,41.886,4.078,6.195,557.0,65.471,613.0,13.087,47.660,9.0,55.0,39.0,10,0.0,61.473
155,2015,3,La Rioja,16.725,- 0,16,2,28.0,16.771,10.0,3.84,9.102,2.984,832.0,0.0,3,0.0,16.771
156,2015,3,Mendoza,153.299,13.030,2.572,42,1.88,170.823,256.0,25.0,173.430,45.0,18.0,5.0,13,0.0,173.792
